theta_deg,counts
0.15,41407
0.45,111089
0.75,150117
1.05,153987
1.35,133939
1.65,102876
1.95,72559
2.25,49141
2.55,33516
2.85,23323
3.15,16677
3.45,12844
3.75,10000
4.05,8283
4.35,6799
4.65,5587
4.95,4783
5.25,4106
5.55,3623
5.85,3218
6.15,2815
6.45,2535
6.75,2252
7.05,2080
7.35,1912
7.65,1779
7.95,1508
8.25,1429
8.55,1352
8.85,1235
9.15,1146
9.45,1070
9.75,971
10.05,905
10.35,856
10.65,829
10.95,764
11.25,701
11.55,689
11.85,642
12.15,613
12.45,626
12.75,573
13.05,549
13.35,486
13.65,488
13.95,449
14.25,412
14.55,426
14.85,379
15.15,358
15.45,377
15.75,326
16.05,361
16.35,337
16.65,300
16.95,309
17.25,269
17.55,277
17.85,266
18.15,273
18.45,248
18.75,261
19.05,228
19.35,233
19.65,235
19.95,217
20.25,207
20.55,214
20.85,188
21.15,191
21.45,190
21.75,170
22.05,174
22.35,163
22.65,174
22.95,158
23.25,150
23.55,152
23.85,161
24.15,152
24.45,125
24.75,148
25.05,131
25.35,131
25.65,135
25.95,129
26.25,112
26.55,104
26.85,109
27.15,100
27.45,101
27.75,97
28.05,91
28.35,89
28.65,98
28.95,93
29.25,94
29.55,117
29.85,95
30.15,76
30.45,93
30.75,68
31.05,72
31.35,81
31.65,55
31.95,79
32.25,77
32.55,62
32.85,64
33.15,67
33.45,72
33.75,62
34.05,60
34.35,65
34.65,60
34.95,67
35.25,64
35.55,56
35.85,68
36.15,48
36.45,52
36.75,42
37.05,62
37.35,54
37.65,59
37.95,49
38.25,55
38.55,50
38.85,50
39.15,42
39.45,52
39.75,59
40.05,39
40.35,45
40.65,46
40.95,46
41.25,48
41.55,34
41.85,41
42.15,32
42.45,39
42.75,29
43.05,37
43.35,36
43.65,36
43.95,29
44.25,38
44.55,22
44.85,34
45.15,39
45.45,32
45.75,28
46.05,26
46.35,39
46.65,27
46.95,33
47.25,31
47.55,31
47.85,23
48.15,28
48.45,25
48.75,28
49.05,30
49.35,32
49.65,24
49.95,27
50.25,12
50.55,22
50.85,32
51.15,27
51.45,16
51.75,26
52.05,19
52.35,25
52.65,22
52.95,19
53.25,24
53.55,21
53.85,18
54.15,28
54.45,25
54.75,19
55.05,31
55.35,19
55.65,21
55.95,21
56.25,16
56.55,17
56.85,19
57.15,19
57.45,23
57.75,14
58.05,16
58.35,24
58.65,16
58.95,13
59.25,15
59.55,11
59.85,17
